"Museer/museumsafdelinger","Alle museer","Alle museer","Ikast-Brande",0
"Museer/museumsafdelinger","Alle museer","Alle museer","Lemvig",3
"Museer/museumsafdelinger","Alle museer","Alle museer","Ringkøbing-Skjern",15
"Museer/museumsafdelinger","Alle museer","Alle museer","Skive",9
"Museer/museumsafdelinger","Alle museer","Alle museer","Struer",1
"Museer/museumsafdelinger","Alle museer","Alle museer","Viborg",10
"Museer/museumsafdelinger","Alle museer","Alle museer","Brønderslev",5
"Museer/museumsafdelinger","Alle museer","Alle museer","Frederikshavn",9
"Museer/museumsafdelinger","Alle museer","Alle museer","Hjørring",8
"Museer/museumsafdelinger","Alle museer","Alle museer","Jammerbugt",2
"Museer/museumsafdelinger","Alle museer","Alle museer","Læsø",1
"Museer/museumsafdelinger","Alle museer","Alle museer","Mariagerfjord",8
"Museer/museumsafdelinger","Alle museer","Alle museer","Morsø",2
"Museer/museumsafdelinger","Alle museer","Alle museer","Rebild",2
"Museer/museumsafdelinger","Alle museer","Alle museer","Thisted",7
"Museer/museumsafdelinger","Alle museer","Alle museer","Vesthimmerlands",4
"Museer/museumsafdelinger","Alle museer","Alle museer","Aalborg",12
