"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Tønder",470743,651541,280385
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Varde",517310,702762,298793
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Vejen",523665,703295,314370
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Vejle",553755,792359,310086
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Aabenraa",490558,688898,288406
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Favrskov",593886,793282,317297
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Hedensted",567086,762471,316662
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Horsens",515799,748643,292110
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Norddjurs",452562,658564,275074
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Odder",545498,751768,313656
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Randers",481844,704823,285723
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Samsø",435753,616961,290259
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Silkeborg",562446,792910,309507
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Skanderborg",632713,843253,333511
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Syddjurs",522860,723584,303074
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Aarhus",482091,795437,276563
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Herning",523739,746801,291684
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Holstebro",507072,718116,286430
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Ikast-Brande",516517,714629,291648
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Lemvig",509678,704680,290218
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Ringkøbing-Skjern",523802,720817,296766
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Skive",488469,687816,285786
"I alt","Gennemsnit for familier i gruppen (kr.)","2018","Struer",485057,676413,281141
